Date,Name,Year,Letterboxd URI,Rating
2020-01-28,American Psycho,2000,https://boxd.it/28Vs,5
2020-01-28,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,5
2020-07-19,Love & Mercy,2014,https://boxd.it/8bd6,5
2020-09-03,High and Low,1963,https://boxd.it/1RSc,5
2020-09-07,"Synecdoche, New York",2008,https://boxd.it/23zw,5
2020-09-08,Hero,2002,https://boxd.it/2bcq,5
2020-09-08,Casino,1995,https://boxd.it/2ads,5
2020-09-08,Tommy Boy,1995,https://boxd.it/1TZ0,5
2020-09-08,Clifford,1994,https://boxd.it/26jw,5
2020-09-08,GoodFellas,1990,https://boxd.it/29FA,5
2020-09-08,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2020-09-09,Beverly Hills Ninja,1997,https://boxd.it/1Ydg,5
2020-09-09,Black Sheep,1996,https://boxd.it/1OXe,5
2020-09-27,Being John Malkovich,1999,https://boxd.it/2ahu,5
2020-10-15,What's Eating Gilbert Grape,1993,https://boxd.it/28xg,5
2020-10-17,Fargo,1996,https://boxd.it/2aHM,5
2020-10-18,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2020-11-28,Billy Madison,1995,https://boxd.it/1UQI,5
2020-12-01,Freddy Got Fingered,2001,https://boxd.it/1QGk,5
2020-12-01,Dirty Work,1998,https://boxd.it/1NOg,5
2020-12-01,Videodrome,1983,https://boxd.it/29uC,5
2020-12-02,RoboCop,1987,https://boxd.it/22Wu,5
2020-12-03,The Taking of Pelham One Two Three,1974,https://boxd.it/20lG,5
2020-12-04,Manhunter,1986,https://boxd.it/1TOw,5
2020-12-05,My Dinner with Andre,1981,https://boxd.it/1vLe,5
2020-12-05,The King of Comedy,1982,https://boxd.it/2aJS,5
2020-12-05,Akira,1988,https://boxd.it/2b1i,5
2020-12-05,Punch-Drunk Love,2002,https://boxd.it/20E4,5
2020-12-05,After Hours,1985,https://boxd.it/1VfS,5
2020-12-06,Wanda,1970,https://boxd.it/2OjK,5
2020-12-23,Gymkata,1985,https://boxd.it/1NPo,5
2020-12-25,Die Hard,1988,https://boxd.it/2a7u,5
2020-12-28,Gummo,1997,https://boxd.it/1H0Y,5
2021-01-30,Gran Torino,2008,https://boxd.it/1Qzy,5
2021-02-02,River's Edge,1986,https://boxd.it/1C7q,5
2021-02-03,Con Air,1997,https://boxd.it/28gO,5
2021-02-04,Jackie Brown,1997,https://boxd.it/2aVO,5
2021-02-05,Heat,1995,https://boxd.it/2bg8,5
2021-02-14,Eastern Promises,2007,https://boxd.it/275q,5
2021-02-16,Amadeus,1984,https://boxd.it/2aH8,5
2021-02-21,Lady Snowblood,1973,https://boxd.it/26Fi,5
2021-02-21,Amélie,2001,https://boxd.it/2aUc,5
2021-02-22,The Florida Project,2017,https://boxd.it/dMG0,5
2021-03-21,Kingpin,1996,https://boxd.it/1TB8,5
2021-03-29,Rear Window,1954,https://boxd.it/2a6Q,5
2021-04-06,Perfect Blue,1997,https://boxd.it/1W7A,5
2021-04-07,Training Day,2001,https://boxd.it/27A4,5
2021-04-12,Belly,1998,https://boxd.it/1R5Y,5
2021-05-12,The Kid Detective,2020,https://boxd.it/r0qm,5
2021-06-06,Audition,1999,https://boxd.it/1UHm,5
2021-07-25,Falling Down,1993,https://boxd.it/194M,5
2021-09-06,L.A. Confidential,1997,https://boxd.it/27oC,5
2021-09-14,The Voyeurs,2021,https://boxd.it/nZoe,5
2021-09-18,Mysterious Skin,2004,https://boxd.it/1UsG,5
2021-11-30,Sling Blade,1996,https://boxd.it/1RRo,5
2021-12-25,Annie Hall,1977,https://boxd.it/29M2,5
2021-12-25,Miller's Crossing,1990,https://boxd.it/2avG,5
2021-12-26,Dog Day Afternoon,1975,https://boxd.it/29bg,5
2021-12-26,Boogie Nights,1997,https://boxd.it/23um,5
2021-12-27,Magnolia,1999,https://boxd.it/2aze,5
2021-12-28,The Master,2012,https://boxd.it/2cBG,5
2021-12-29,A Serious Man,2009,https://boxd.it/1RFW,5
2021-12-30,There Will Be Blood,2007,https://boxd.it/20Z2,5
2021-12-30,25th Hour,2002,https://boxd.it/28LC,5
2021-12-31,Ghost World,2001,https://boxd.it/28Dy,5
2022-02-02,Riders of Justice,2020,https://boxd.it/oHQc,5
2022-02-03,To Die For,1995,https://boxd.it/2a5o,5
2022-02-04,The Royal Tenenbaums,2001,https://boxd.it/1YHU,5
2022-02-04,Moonrise Kingdom,2012,https://boxd.it/2Wng,5
2022-02-04,Clueless,1995,https://boxd.it/1Ygk,5
2022-02-04,Superbad,2007,https://boxd.it/20hO,5
2022-02-04,The Jerk,1979,https://boxd.it/21EO,5
2022-02-06,Licorice Pizza,2021,https://boxd.it/qTKY,5
2022-02-06,Police Story,1985,https://boxd.it/1Zhe,5
2022-02-06,Phantom Thread,2017,https://boxd.it/e4uc,5
2022-02-07,Better Off Dead...,1985,https://boxd.it/1PFU,5
2022-02-08,Possession,1981,https://boxd.it/1BPm,5
2022-02-09,Do the Right Thing,1989,https://boxd.it/29gA,5
2022-02-10,The Apartment,1960,https://boxd.it/2aGE,5
2022-02-13,"Paris, Texas",1984,https://boxd.it/29Ts,5
2022-02-24,Chungking Express,1994,https://boxd.it/1UDa,5
2022-02-25,Sexy Beast,2000,https://boxd.it/1SZS,5
2022-02-26,Barton Fink,1991,https://boxd.it/2aFQ,5
2022-02-26,Raising Arizona,1987,https://boxd.it/2avQ,5
2022-02-27,Safe,1995,https://boxd.it/1gKU,5
2022-02-27,The Shining,1980,https://boxd.it/29Nu,5
2022-03-02,Carrie,1976,https://boxd.it/20ZQ,5
2022-03-03,Glengarry Glen Ross,1992,https://boxd.it/1Yw8,5
2022-03-03,Deep End,1970,https://boxd.it/i8m,5
2022-03-03,Bad Lieutenant,1992,https://boxd.it/1Src,5
2022-03-04,The Long Goodbye,1973,https://boxd.it/281O,5
2022-03-04,Blow Out,1981,https://boxd.it/1TlE,5
2022-03-04,Election,1999,https://boxd.it/1YEc,5
2022-03-05,The Believer,2001,https://boxd.it/24Qy,5
2022-03-05,Short Cuts,1993,https://boxd.it/29Nk,5
2022-03-05,Nightcrawler,2014,https://boxd.it/780m,5
2022-03-06,Cure,1997,https://boxd.it/1blA,5
2022-03-07,Charley Varrick,1973,https://boxd.it/1s2q,5
2022-03-07,Children of Men,2006,https://boxd.it/1Y2i,5
2022-03-07,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2022-03-08,The Driver,1978,https://boxd.it/27jW,5
2022-03-08,Pulse,2001,https://boxd.it/1s3y,5
2022-03-09,Five Easy Pieces,1970,https://boxd.it/1tww,5
2022-03-10,Hard Target,1993,https://boxd.it/27Ck,5
2022-03-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2022-03-11,The Worst Person in the World,2021,https://boxd.it/oyws,5
2022-03-11,Blue Streak,1999,https://boxd.it/1UT8,5
2022-03-12,Margaret,2011,https://boxd.it/2kbm,5
2022-03-12,Paprika,2006,https://boxd.it/23wW,5
2022-03-14,Adaptation.,2002,https://boxd.it/26mA,5
2022-03-14,Ricochet,1991,https://boxd.it/1Ypm,5
2022-03-15,Suspiria,1977,https://boxd.it/1SNW,5
2022-03-15,They Live,1988,https://boxd.it/20lm,5
2022-03-15,Moonstruck,1987,https://boxd.it/27zg,5
2022-03-16,Total Recall,1990,https://boxd.it/29qK,5
2022-03-16,Scream,1996,https://boxd.it/24EC,5
2022-03-17,Barry Lyndon,1975,https://boxd.it/25A2,5
2022-03-17,King of New York,1990,https://boxd.it/1Ynq,5
2022-03-23,Tampopo,1985,https://boxd.it/1SZe,5
2022-03-24,Ms .45,1981,https://boxd.it/1AWG,5
2022-03-24,Ocean's Eleven,2001,https://boxd.it/2aZm,5
2022-03-25,Persona,1966,https://boxd.it/29B4,5
2022-03-26,Ocean's Twelve,2004,https://boxd.it/2aZ2,5
2022-03-26,Ocean's Thirteen,2007,https://boxd.it/2aEy,5
2022-03-27,Vertigo,1958,https://boxd.it/2apI,5
2022-03-27,Starship Troopers,1997,https://boxd.it/2a7k,5
2022-03-27,Wild Things,1998,https://boxd.it/29Zq,5
2022-03-30,I'm Still Here,2010,https://boxd.it/TcK,5
2022-03-31,The Fly,1986,https://boxd.it/1YIe,5
2022-03-31,Collateral,2004,https://boxd.it/28F0,5
2022-04-02,Chinatown,1974,https://boxd.it/29vU,5
2022-04-04,Dead or Alive,1999,https://boxd.it/1U9u,5
2022-04-05,The Yards,2000,https://boxd.it/1F5C,5
2022-04-06,Analyze This,1999,https://boxd.it/1Yr8,5
2022-04-07,Before Sunrise,1995,https://boxd.it/2bcU,5
2022-04-07,Before Sunset,2004,https://boxd.it/2bcg,5
2022-04-07,Before Midnight,2013,https://boxd.it/4ive,5
2022-04-08,Miami Vice,2006,https://boxd.it/2bbW,5
2022-04-09,In the Mood for Love,2000,https://boxd.it/29tE,5
2022-04-09,The Terminator,1984,https://boxd.it/2aQY,5
2022-04-10,Body Snatchers,1993,https://boxd.it/23UE,5
2022-04-10,To Live and Die in L.A.,1985,https://boxd.it/1XFo,5
2022-04-12,Death Proof,2007,https://boxd.it/27GG,5
2022-04-13,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2022-04-16,Point Break,1991,https://boxd.it/2958,5
2022-04-16,Big Trouble in Little China,1986,https://boxd.it/21em,5
2022-04-19,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2022-04-22,Hard Boiled,1992,https://boxd.it/1T6a,5
2022-04-24,Shame,2011,https://boxd.it/2CxU,5
2022-04-25,The Tree of Life,2011,https://boxd.it/1Zu8,5
2022-04-25,Manchester by the Sea,2016,https://boxd.it/b2L0,5
2022-05-02,The Aviator,2004,https://boxd.it/26BU,5
2022-05-02,Cape Fear,1991,https://boxd.it/28vu,5
2022-05-04,Phantom of the Paradise,1974,https://boxd.it/1s34,5
2022-05-06,Crimes and Misdemeanors,1989,https://boxd.it/1Ty4,5
2022-05-07,Trading Places,1983,https://boxd.it/28sK,5
2022-05-07,The Insider,1999,https://boxd.it/1ZoE,5
2022-05-08,Richard Jewell,2019,https://boxd.it/99Mg,5
2022-05-08,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,5
2022-05-09,Hannah and Her Sisters,1986,https://boxd.it/23jy,5
2022-05-10,Network,1976,https://boxd.it/1VqG,5
2022-05-11,Husbands and Wives,1992,https://boxd.it/1pIe,5
2022-05-12,The Purple Rose of Cairo,1985,https://boxd.it/1VeU,5
2022-05-13,Deconstructing Harry,1997,https://boxd.it/26xe,5
2022-05-17,Talk Radio,1988,https://boxd.it/1X0K,5
2022-05-19,Southland Tales,2006,https://boxd.it/23Uu,5
2022-05-20,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,5
2022-05-21,Unforgiven,1992,https://boxd.it/6Z4,5
2022-05-21,Buffalo '66,1998,https://boxd.it/1YC6,5
2022-05-22,The Beguiled,1971,https://boxd.it/1i9m,5
2022-05-23,Zelig,1983,https://boxd.it/1UOC,5
2022-05-24,Maps to the Stars,2014,https://boxd.it/4WCu,5
2022-05-24,A History of Violence,2005,https://boxd.it/2bfa,5
2022-05-26,Body Double,1984,https://boxd.it/1TGW,5
2022-05-27,The Conversation,1974,https://boxd.it/2a38,5
2022-05-28,Tokyo Fist,1995,https://boxd.it/Z2m,5
2022-05-30,Thief,1981,https://boxd.it/1TEc,5
2022-05-31,Killer Joe,2011,https://boxd.it/2vtQ,5
2022-05-31,Drugstore Cowboy,1989,https://boxd.it/2aj6,5
2022-06-02,Badlands,1973,https://boxd.it/25Fm,5
2022-06-02,Heathers,1989,https://boxd.it/26x4,5
2022-06-02,Re-Animator,1985,https://boxd.it/28hM,5
2022-06-03,"Hi, Mom!",1970,https://boxd.it/Wwy,5
2022-06-03,Unstoppable,2010,https://boxd.it/SVO,5
2022-06-05,Crimes of the Future,2022,https://boxd.it/uTuY,5
2022-06-05,Crank,2006,https://boxd.it/27MY,5
2022-06-05,Crank: High Voltage,2009,https://boxd.it/1MPs,5
2022-06-07,JFK,1991,https://boxd.it/29xm,5
2022-06-09,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY,5
2022-06-11,Mission: Impossible,1996,https://boxd.it/29d2,5
2022-06-12,Ronin,1998,https://boxd.it/20wa,5
2022-06-15,Executive Decision,1996,https://boxd.it/26We,5
2022-06-17,Halloween,1978,https://boxd.it/2wRu,5
2022-06-18,Bug,2006,https://boxd.it/1RN2,5
2022-06-19,Memories of Murder,2003,https://boxd.it/1TSo,5
2022-06-20,A Simple Plan,1998,https://boxd.it/1WMo,5
2022-06-21,True Lies,1994,https://boxd.it/19pq,5
2022-06-26,Sorcerer,1977,https://boxd.it/14J6,5
2022-06-26,Brawl in Cell Block 99,2017,https://boxd.it/dWOo,5
2022-06-26,Dragged Across Concrete,2018,https://boxd.it/fAly,5
2022-06-27,Bone Tomahawk,2015,https://boxd.it/9kiw,5
2022-06-28,Commando,1985,https://boxd.it/1UTs,5
2022-06-29,Sudden Death,1995,https://boxd.it/1ZbA,5
2022-06-30,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,5
2022-07-01,Non-Stop,2014,https://boxd.it/6FtO,5
2022-07-03,No Country for Old Men,2007,https://boxd.it/21ew,5
2022-07-04,Showgirls,1995,https://boxd.it/1Vmk,5
2022-07-05,Pain & Gain,2013,https://boxd.it/4lp4,5
2022-07-05,Zodiac,2007,https://boxd.it/27MO,5
2022-07-06,Black Christmas,1974,https://boxd.it/1Js6,5
2022-07-08,Millennium Actress,2001,https://boxd.it/1fK0,5
2022-07-10,The Running Man,1987,https://boxd.it/29q6,5
2022-07-12,House of Wax,2005,https://boxd.it/1XaU,5
2022-07-13,Hardcore,1979,https://boxd.it/XyA,5
2022-07-16,From Beyond,1986,https://boxd.it/1NXi,5
2022-07-18,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,5
2022-07-19,Days of Thunder,1990,https://boxd.it/27os,5
2022-07-20,Blood Simple,1984,https://boxd.it/1U16,5
2022-07-21,Stardust Memories,1980,https://boxd.it/1U66,5
2022-07-22,Dressed to Kill,1980,https://boxd.it/1UO8,5
2022-07-23,Raising Cain,1992,https://boxd.it/1P5C,5
2022-07-24,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,5
2022-07-25,The Birds,1963,https://boxd.it/2a6m,5
2022-07-26,Alpha Dog,2006,https://boxd.it/20Va,5
2022-07-27,Maniac,2012,https://boxd.it/3wzs,5
2022-07-28,Sisters,1972,https://boxd.it/1AMc,5
2022-07-30,The Raid,2011,https://boxd.it/3hBy,5
2022-07-31,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2022-08-01,Sunset Boulevard,1950,https://boxd.it/2a20,5
2022-08-02,Dirty Harry,1971,https://boxd.it/299E,5
2022-08-03,Stop Making Sense,1984,https://boxd.it/1ygo,5
2022-08-04,12 Angry Men,1957,https://boxd.it/2auI,5
2022-08-05,The French Connection,1971,https://boxd.it/296g,5
2022-08-07,Carlito's Way,1993,https://boxd.it/226e,5
2022-08-08,Femme Fatale,2002,https://boxd.it/1Z4Y,5
2022-08-09,The Empty Man,2020,https://boxd.it/iIWS,5
2022-08-14,Fear,1996,https://boxd.it/1W0a,5
2022-08-15,Cruel Intentions,1999,https://boxd.it/29Be,5
2022-08-16,The Italian Job,2003,https://boxd.it/1Y86,5
2022-08-17,Freeway,1996,https://boxd.it/1Uju,5
2022-08-19,Miami Blues,1990,https://boxd.it/1N5g,5
2022-08-22,Jackass Number Two,2006,https://boxd.it/1SyM,5
2022-08-23,The Last Days of Disco,1998,https://boxd.it/1JpQ,5
2022-08-24,Metropolitan,1990,https://boxd.it/1Mku,5
2022-08-26,Private Parts,1997,https://boxd.it/1YLM,5
2022-08-28,The Talented Mr. Ripley,1999,https://boxd.it/2924,5
2022-08-29,The Basketball Diaries,1995,https://boxd.it/1WaO,5
2022-08-30,Jerry Maguire,1996,https://boxd.it/1YNS,5
2022-09-02,Dead or Alive 2: Birds,2000,https://boxd.it/1Pbq,5
2022-09-03,The Thing,1982,https://boxd.it/294O,5
2022-09-04,There's Something About Mary,1998,https://boxd.it/2aae,5
2022-09-05,The Last Boy Scout,1991,https://boxd.it/1YYQ,5
2022-09-07,House,1977,https://boxd.it/1vsm,5
2022-09-09,Days of Heaven,1978,https://boxd.it/1JRg,5
2022-09-10,Jaws,1975,https://boxd.it/2a5e,5
2022-09-11,True Romance,1993,https://boxd.it/2aBa,5
2022-09-12,Take the Money and Run,1969,https://boxd.it/1TJQ,5
2022-09-13,In the Mouth of Madness,1994,https://boxd.it/26vi,5
2022-09-14,Bananas,1971,https://boxd.it/1UbA,5
2022-09-15,Breathless,1960,https://boxd.it/2aIK,5
2022-10-04,The Commuter,2018,https://boxd.it/dZ36,5
2022-11-20,The Matrix,1999,https://boxd.it/2a1m,5
2022-11-21,TÁR,2022,https://boxd.it/uNIA,5
2022-11-27,Society,1989,https://boxd.it/1ARc,5
2023-01-03,Ghost in the Shell,1995,https://boxd.it/1YYc,5
2023-01-19,Orphan,2009,https://boxd.it/1CgM,5
2023-01-22,Cop,1988,https://boxd.it/1iuY,5
2023-01-29,Black Christmas,2006,https://boxd.it/1Y7M,5
2023-01-30,Strange Days,1995,https://boxd.it/2aGO,5
2023-02-12,The Pelican Brief,1993,https://boxd.it/1Xt8,5
2023-02-12,Casualties of War,1989,https://boxd.it/1WZ8,5
2023-02-14,Affliction,1997,https://boxd.it/1iAM,5
2023-02-18,Walking Tall,1973,https://boxd.it/1vKA,5
2023-02-19,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO,5
2023-02-20,Dogville,2003,https://boxd.it/2a8W,5
2023-02-21,Double Indemnity,1944,https://boxd.it/297I,5
2023-02-23,Lost in Translation,2003,https://boxd.it/2b0E,5
2023-02-24,Lost Highway,1997,https://boxd.it/29Wc,5
2023-02-27,The Silent Partner,1978,https://boxd.it/1vZq,5
2023-02-28,Mystic River,2003,https://boxd.it/2aAG,5
2023-03-04,From Dusk Till Dawn,1996,https://boxd.it/29HQ,5
2023-03-07,Drag Me to Hell,2009,https://boxd.it/1Jzw,5
2023-03-08,Gone Baby Gone,2007,https://boxd.it/23R6,5
2023-03-10,Half Nelson,2006,https://boxd.it/20Ng,5
2023-03-11,Rocky,1976,https://boxd.it/28Uk,5
2023-03-11,Rocky II,1979,https://boxd.it/28Ua,5
2023-03-12,Notes on a Scandal,2006,https://boxd.it/28Zu,5
2023-03-13,The Fabelmans,2022,https://boxd.it/ugoM,5
2023-03-14,Kids,1995,https://boxd.it/1YUY,5
2023-03-15,Nowhere,1997,https://boxd.it/286E,5
2023-03-23,Bully,2001,https://boxd.it/1Yu2,5
2023-04-07,Le Cercle Rouge,1970,https://boxd.it/1Tjy,5
2023-04-11,Burning,2018,https://boxd.it/hHUa,5
2023-04-11,Party Girl,1995,https://boxd.it/1b7e,5
2023-04-14,Outrage,2010,https://boxd.it/PUo,5
2023-04-17,A Bronx Tale,1993,https://boxd.it/28uQ,5
2023-04-23,Sonatine,1993,https://boxd.it/20TI,5
2023-04-27,Match Point,2005,https://boxd.it/2b6s,5
2023-04-28,Your Name.,2016,https://boxd.it/cUqs,5
2023-05-01,Suzume,2022,https://boxd.it/yv7Y,5
2023-05-15,Pulp Fiction,1994,https://boxd.it/29Pq,5
2023-05-16,Singin' in the Rain,1952,https://boxd.it/29oY,5
2023-05-17,The Big Lebowski,1998,https://boxd.it/2b6C,5
2023-05-20,Psycho,1960,https://boxd.it/2ab2,5
2023-05-20,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,5
